title,url,length,coordinates
Amicalola Falls Trail,https://www.atlantatrails.com/hiking-trails/tumbling-waters-hiking-amicalola-falls/,2.1 miles,"[34.558, -84.24985]"
Sweetwater Creek Yellow Trail,https://www.atlantatrails.com/hiking-trails/sweetwater-creek-hiking-the-yellow-trail/,3.3 miles,"[33.75255, -84.62825]"
Tallulah Gorge North And South Rim Trails,https://www.atlantatrails.com/hiking-trails/tallulah-gorge-north-south-rim-trails/,2.5 miles,"[34.740217, -83.3905]"
Sweetwater Creek Red Trail,https://www.atlantatrails.com/hiking-trails/sweetwater-creek-hiking-the-red-trail/,2.3 miles,"[33.752517, -84.62805]"
Red Top Mountain Homestead Trail,https://www.atlantatrails.com/hiking-trails/red-top-mountain-homestead-trail/,5.3 miles,"[34.148133, -84.707267]"
Black Rock Mountain James E Edmonds Trail,https://www.atlantatrails.com/hiking-trails/black-rock-mountain-james-e-edmond-trail/,7.2 miles,"[34.9072, -83.4122]"
Smithgall Woods State Park,https://www.atlantatrails.com/hiking-trails/smithgall-woods-state-park/,8.7 miles,"[34.69176, -83.76831]"
Sweetwater Creek Orange Trail To Atlanta Skyline Views,https://www.atlantatrails.com/hiking-trails/sweetwater-creek-orange-trail/,4.75 miles,"[33.752517, -84.62805]"
High Falls State Park,https://www.atlantatrails.com/hiking-trails/high-falls-state-park-falls-trail/,1.2 miles,"[33.179233, -84.01745]"
Arabia Mountain View Trail,https://www.atlantatrails.com/hiking-trails/arabia-mountain-view-trail/,2.3 miles,"[33.659883, -84.123833]"
Arabia Mountain Cascade And Wilburn Farm Trail,https://www.atlantatrails.com/hiking-trails/arabia-mountain-cascade-trail-wilburn-farm/,3.25 miles,"[33.6686, -84.149867]"
Arabia Mountain Klondike Boardwalk Trail,https://www.atlantatrails.com/hiking-trails/arabia-mountain-boardwalk-lake-summit-trail/,5.1 miles,"[33.672095, -84.117488]"
Arabia Mountain Top Trail,https://www.atlantatrails.com/hiking-trails/arabia-mountain-top-trail/,1.3 miles,"[33.660294, -84.123704]"
East Palisades Trail,https://www.atlantatrails.com/hiking-trails/hiking-east-palisades-indian-trail-at-the-chattahoochee-river/,4 miles,"[33.884062, -84.436651]"
Anna Ruby Falls,https://www.atlantatrails.com/hiking-trails/anna-ruby-falls-trail/,.9 miles,"[34.757967, -83.71015]"
Helton Creek Falls,https://www.atlantatrails.com/hiking-trails/helton-creek-falls-a-short-hike-to-two-waterfalls-near-helen-georgia/,.6 miles,"[34.753167, -83.894233]"
Unicoi Gap To Rocky Mountain On The Appalachian Trail,https://www.atlantatrails.com/hiking-trails/unicoi-gap-appalachian-trail-rocky-mountain-loop/,5.1 miles,"[34.8016, -83.742833]"
Arkaquah Trail At Brasstown Bald,https://www.atlantatrails.com/hiking-trails/arkaquah-trail-brasstown-bald/,11 miles,"[34.869967, -83.810733]"
Brasstown Bald,https://www.atlantatrails.com/hiking-trails/brasstown-bald/,1.1 miles,"[34.870483, -83.810117]"
High Shoals Falls And Blue Hole Falls,https://www.atlantatrails.com/hiking-trails/high-shoals-falls-trail-blue-hole-falls/,2.4 miles,"[34.816467, -83.72715]"
Dicks Creek Gap To Powell Mountain,https://www.atlantatrails.com/hiking-trails/appalachian-trail-dicks-creek-gap-powell-mountain/,5.2 miles,"[34.912167, -83.618967]"
Lake Chatuge Trail,https://www.atlantatrails.com/hiking-trails/lake-chatuge-trail/,1 miles,"[34.953567, -83.781433]"
Emery Creek Falls Trail,https://www.atlantatrails.com/hiking-trails/wild-river-crossings-to-a-gorgeous-waterfall-hiking-emery-creek/,6.2 miles,"[34.811178, -84.653159]"
Minnehaha Falls Trail,https://www.atlantatrails.com/hiking-trails/minnehaha-falls-georgia-trail/,.4 miles,"[34.749633, -83.479083]"
Long Creek Falls On The Appalachian Trail,https://www.atlantatrails.com/hiking-trails/hiking-the-appalachian-trail-at-three-forks-to-long-creek-falls/,1.9 miles,"[34.66385, -84.183967]"
Preachers Rock On The Appalachian Trail,https://www.atlantatrails.com/hiking-trails/preachers-rock-appalachian-trail/,2 miles,"[34.677882, -83.999551]"
Jacks River Falls On The Beech Bottom Trail,https://www.atlantatrails.com/hiking-trails/jacks-river-falls-beech-bottom-trail/,9 miles,"[34.99055, -84.58755]"
Bartram Trail,https://www.atlantatrails.com/hiking-trails/bartram-trail/,70 miles,"[34.99625, -83.281717]"
Chattooga River Trail,https://www.atlantatrails.com/hiking-trails/chattooga-river-trail/,5.5 miles,"[34.920083, -83.169317]"
Pinnacle Knob On The Bartram Trail,https://www.atlantatrails.com/hiking-trails/pinnacle-knob-bartram-trail/,8.1 miles,"[34.882533, -83.35095]"
Lake Conasauga Songbird Trail,https://www.atlantatrails.com/hiking-trails/songbird-trail-lake-conasauga/,1.7 miles,"[34.855967, -84.65775]"
Panther Creek Falls In The Cohutta Wilderness,https://www.atlantatrails.com/hiking-trails/cohutta-wilderness-panther-creek-falls/,8.4 miles,"[34.881783, -84.565983]"
Ocmulgee National Monument,https://www.atlantatrails.com/hiking-trails/ocmulgee-national-monument/,3.2 miles,"[32.841983, -83.60225]"
Jones Bridge Park Trail,https://www.atlantatrails.com/hiking-trails/jones-bridge-park-trail/,4.6 miles,"[34.001517, -84.239817]"
Woody Gap To Ramrock Mountain And The Gooch Mountain Shelter,https://www.atlantatrails.com/hiking-trails/woody-gap-ramrock-mountain-gooch-gap/,10.6 miles,"[34.677333, -84.000117]"
Cochran Shoals Trail,https://www.atlantatrails.com/hiking-trails/cochran-shoals-trails-along-the-chattahoochee/,3.1 miles,"[33.9038, -84.445383]"
Desoto Falls Trail,https://www.atlantatrails.com/hiking-trails/desoto-falls-hiking-double-waterfalls-in-georgia/,2.2 miles,"[34.706596, -83.915254]"
Pine Mountain Trail In Cartersville,https://www.atlantatrails.com/hiking-trails/pine-mountain-trail-cartersville/,4.5 miles,"[34.175233, -84.753817]"
Slaughter Mountain And Lake Winfield Scott Loop,https://www.atlantatrails.com/hiking-trails/slaughter-mountain-lake-winfield-scott-loop/,5.6 miles,"[34.737426, -83.973118]"
Panther Creek Trail From Yonah Dam,https://www.atlantatrails.com/hiking-trails/panther-creek-falls-trail-yonah-dam/,4.7 miles,"[34.667333, -83.364317]"
Dockery Lake Trail,https://www.atlantatrails.com/hiking-trails/dockery-lake-trail/,7.1 miles,"[34.673217, -83.976967]"
Becky Branch Falls And Warwoman Dell,https://www.atlantatrails.com/hiking-trails/warwoman-dell-bartram-trail-becky-branch-falls/,1.4 miles,"[34.881317, -83.352883]"
Lula Lake Land Trust,https://www.atlantatrails.com/hiking-trails/lula-lake-land-trust/,3 miles,"[34.921867, -85.3806]"
Hightower Gap To Cooper Gap,https://www.atlantatrails.com/hiking-trails/appalachian-trail-hightower-gap-cooper-gap/,6.8 miles,"[34.66365, -84.129667]"
Rocktown Trail At Pigeon Mountain,https://www.atlantatrails.com/hiking-trails/rocktown-trail/,1.6 miles,"[34.658817, -85.389917]"
Fall Branch Falls On The Benton Mackaye Trail,https://www.atlantatrails.com/hiking-trails/fall-branch-falls-benton-mackaye-trail/,.5 miles,"[34.784, -84.302167]"
Phinizy Swamp Nature Park,https://www.atlantatrails.com/hiking-trails/phinizy-swamp-nature-park/,1.1 miles,"[33.385, -81.967317]"
Johnson Ferry Trail,https://www.atlantatrails.com/hiking-trails/johnson-ferry-trail/,1.8 miles,"[33.94645, -84.403833]"
Panola Mountain State Park Guided Twilight Hikes,https://www.atlantatrails.com/hiking-trails/panola-mountain-state-park-guided-hikes/,3 miles,"[33.623402, -84.172538]"
Wormsloe Historic Site,https://www.atlantatrails.com/hiking-trails/wormsloe-historic-site-savannah/,3.2 miles,"[31.962033, -81.06915]"
Hike Inn Trail,https://www.atlantatrails.com/hiking-trails/georgia-hike-inn-trail-amicalola-falls/,9.9 miles,"[34.566933, -84.243583]"
Conasauga River Trail From Betty Gap,https://www.atlantatrails.com/hiking-trails/conasauga-river-trail-georgia-cohutta-wilderness/,13.2 miles,"[34.85475, -84.58105]"
Smith Creek Trail To Anna Ruby Falls,https://www.atlantatrails.com/hiking-trails/smith-creek-trail-anna-ruby-falls/,8.7 miles,"[34.72665, -83.716033]"
Gahuti Trail At Fort Mountain State Park,https://www.atlantatrails.com/hiking-trails/fort-mountain-hiking-the-gahuti-trail-in-north-georgia/,8.1 miles,"[34.77895, -84.70553]"
Fort Mountain Lake Trail,https://www.atlantatrails.com/hiking-trails/lake-trail-fort-mountain-state-park/,1.2 miles,"[34.756995, -84.710617]"
Conasauga River Trail North,https://www.atlantatrails.com/hiking-trails/conasauga-river-trail-northern-half/,12 miles,"[34.938667, -84.6585]"
Cochran Mill Park To Henry Mill Falls,https://www.atlantatrails.com/hiking-trails/hiking-henry-mill-falls-cochran-mill-park/,4.8 miles,"[33.57155, -84.71335]"
Murphey Candler Park,https://www.atlantatrails.com/hiking-trails/murphey-candler-park-hiking-brookhaven-atlanta/,2 miles,"[33.909617, -84.326033]"
Angel Falls Trail At Lake Rabun Beach,https://www.atlantatrails.com/hiking-trails/angel-falls-trail-lake-rabun-hiking/,1.75 miles,"[34.761333, -83.4727]"
Gold Branch Trail At Bull Sluice Lake,https://www.atlantatrails.com/hiking-trails/gold-branch-trail-bull-sluice-lake/,3.2 miles,"[33.984898, -84.38702]"
Morningside Nature Preserve,https://www.atlantatrails.com/hiking-trails/morningside-nature-preserve-atlanta-walking-and-running-trails/,2 miles,"[33.809783, -84.352133]"
Skidaway Island Big Ferry Trail,https://www.atlantatrails.com/hiking-trails/skidaway-island-savannah-hiking-big-ferry-trail/,2.6 miles,"[31.954143, -81.05004]"
Island Ford Park At The Chattahoochee River,https://www.atlantatrails.com/hiking-trails/riverside-hiking-trails-island-ford-at-the-chattahoochee-river/,2 miles,"[33.987313, -84.325466]"
Paces Mill Park And West Palisades Trail,https://www.atlantatrails.com/hiking-trails/paces-mill-park-west-palisades-trail/,3.6 miles,"[33.86955, -84.45425]"
Cochran Shoals To Sope Creek,https://www.atlantatrails.com/hiking-trails/cochran-shoals-to-sope-creek-hiking-the-chattahoochee-river/,8.5 miles,"[33.903367, -84.44465]"
Kennesaw Mountain Battlefield Trail,https://www.atlantatrails.com/hiking-trails/kennesaw-mountain-battlefield-trail/,11 miles,"[33.982433, -84.57812]"
Cheatham Hill Loop Trail At Kennesaw Mountain,https://www.atlantatrails.com/hiking-trails/cheatham-hill-kolb-farm-loop-trail/,5.8 miles,"[33.936217, -84.597117]"
Fort Yargo State Park Lake Trail,https://www.atlantatrails.com/hiking-trails/lake-loop-trail-fort-yargo-hiking-running/,5 miles,"[33.966267, -83.7364]"
Kennesaw Mountain Environmental Trail,https://www.atlantatrails.com/hiking-trails/kennesaw-mountain-environmental-trail/,1.35 miles,"[33.983133, -84.579083]"
Kennesaw Mountain 24 Gun Trail,https://www.atlantatrails.com/hiking-trails/kennesaw-mountain-24-gun-trail/,3.5 miles,"[33.983133, -84.579083]"
Woody Gap To Jarrard Gap On The Appalachian Trail,https://www.atlantatrails.com/hiking-trails/appalachian-trail-woody-gap-big-cedar-mountain/,11.6 miles,"[34.677883, -83.99955]"
Byron Reece Trail At Neels Gap,https://www.atlantatrails.com/hiking-trails/neels-gap-byron-reece-trail/,1.35 miles,"[34.741433, -83.92285]"
Toccoa River Swinging Bridge,https://www.atlantatrails.com/hiking-trails/toccoa-river-swinging-bridge-benton-mackaye-trail/,2 miles,"[34.739017, -84.1702]"
Pine Log Creek Trail And Quarry,https://www.atlantatrails.com/hiking-trails/pine-log-creek-trail-and-quarry/,4.4 miles,"[34.348367, -84.6647]"
Iron Hill Loop Trail At Red Top Mountain,https://www.atlantatrails.com/hiking-trails/hiking-iron-hill-red-top-mountain-lake-allatoona/,3.8 miles,"[34.13955, -84.700383]"
Yellow River Park,https://www.atlantatrails.com/hiking-trails/yellow-river-trail-hiking/,3.2 miles,"[33.7914, -84.07155]"
Chattahoochee Bend Riverside Trail,https://www.atlantatrails.com/hiking-trails/chattahoochee-bend-riverside-trail/,3.8 miles,"[33.42955, -85.012183]"
Jacks River Trail,https://www.atlantatrails.com/hiking-trails/hiking-jacks-river-falls-trail-splashing-through-the-cohutta-wilderness/,18 miles,"[34.933417, -84.51865]"
Chattahoochee Bend State Park,https://www.atlantatrails.com/hiking-trails/chattahoochee-bend-state-park/,10 miles,"[33.42955, -85.012183]"
Carters Lake Oak Ridge Nature Trail,https://www.atlantatrails.com/hiking-trails/oak-ridge-nature-trail-carters-lake/,1.6 miles,"[34.617183, -84.639617]"
Carters Lake Tumbling Waters Trail,https://www.atlantatrails.com/hiking-trails/tumbling-waters-nature-trail-carters-lake/,1 miles,"[34.650267, -84.608983]"
Three Forks To The Hawk Mountain Shelter,https://www.atlantatrails.com/hiking-trails/hawk-mountain-shelter-appalachian-trail-three-forks/,9.1 miles,"[34.664775, -84.18394]"
Unicoi Gap To Chattahoochee Gap,https://www.atlantatrails.com/hiking-trails/appalachian-trail-unicoi-gap-chattahoochee-gap/,8.9 miles,"[34.802333, -83.7431]"
Cloudland Canyon In Winter,https://www.atlantatrails.com/hiking-trails/cloudland-canyon-winter-hiking-georgia/,6.2 miles,"[34.833567, -85.477483]"
